Prompt,Model Response
"Today , it was a normal day for me. but last nite , it make me think over a lot of thing when i heard a story from the radio 933 that make me think over. It is a story about this guy who break with his galfren,YYY, but he still love the gal a lot. But the gal's coldness towards him make him him feel very sad. Then on the way he meet another gal ,xxx, they were normal fren at the first but later they become fren that tell each other everything like feeling . So the guy have fallen in love with this gal but he still love the ,YYY, so he really dun nod wat to do. One day , the guy died in a car accdient . Both gales, YYY did not cry and XXX cry for him. but after a few year, YYY marry a another guy while XXX was still love the guy alot and have reject a lot ppl who try to love her. The guy wait for a person that do not love him anymore and let a gal that love her a lot to go out of his life. After noding this story , it make me understand that we must tresure ppl around us . Jus tell this story to ppl and couple to tresure each other and not to say break so easily cos love hurts ppl.         From: guardian angel 11

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"Fourth of July: It was kinda boring for me. A few of Rachel's friends came over and we shot off some big fireworks that my daddy bought. It was alright I guess. Wow, okay now onto these last 2 days. I had to wake up at 5:30 in the morning on Monday to get ready to go to my Grandparents' house(which is in Branson--4 hours away). On the way we got McDonald's breakfast(because that's the only meal they can make that is good enough to choke down.) We got to their house at around noon. We came in and talked for a little bit, then we watched the tape of my promotion and from dance camp. Then we sat. And talked. And sat. And ate. And sat. Then my dad and grandpa went outside to unload firewood and they forced me to help them. Okay, I'm not the type of girl that goes out in the woods and loads firewood into a 30 year old Ford truck, but I did it just because I'd rather do that than sit inside and talk to my grandma, lol. When we were unloading it onto the stack of firewood that was already there, I got bit by an ant. It hurt like hell, so I went inside to put aloe vera on it. I checked my phone and saw that Kierston had called me, so I called her back. We ended up talking for the next half hour until my family came back inside and then we ate spaghetti for lunch. After lunch, Rachel and me went outside and rode the four-wheeler for a little while. Then I came back inside and called Cam and we talked until he had to go to baseball. We ate mac and cheese for dinner and then we watched TV for a little bit. Then I called Kier again cause I was bored and we talked for a little while. Then I came inside again and got ready for bed. I figured I should go to bed early since old people wake up early. The next day, my dad came in and woke me up at 9. I was soo mad. So I got up and ate breakfast, then went back to sleep till about noon or 1. My phone was dead, so I couldn't call anyone, unfortunately. We talked again for like an hour or whatever and then we left. On the way home we stopped by IHOP and I got some chocolate chip pancakes. And we got home late last night and I got on AOL, watched TV, the usual. Went to bed at like 3, woke up today at 12. Today Colton came over to see Rachel. They went swimming and she's taking him home right now. I'm sitting here bored out of my mind typing the longest thing I think I've ever typed in my life. Later...

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"ok so today has been a pretty good day considering.... The other nanny is going to be gone for the whole day and the baby nanny really doesn't help me all that much... none of the kids were in bed before 9:30 (not my fault) and the mom is home. This morning was fine the kids and I were joking around all the way to school so the day started off with laughs and smiles. Then I took the 3 year old to pre-school and we had no problems... I picked him up we had a good lunch and afternoon he fell asleep right away for his nap and the mom is picking the kids up from school..    I found out yesterday that I passed the praxis which is huge for me cuase now I am a certified teacher in the state of Ohio. Whew!! I also got a call on my way to play practice (more about that later) about a job at a school really close to my home town. I am so excited. The principal isn't even asking me to apply just send her a resume and plan on going in for an interview. I had done an experience there and she wants to hire me.. I am almost about to burst!!  I leave for Fl in like 5 days and I am so ready for it!!   so I have been going to this church here and there are these 3 great fun guys my age there. Well the pastors wife, youth pastors wife and the church secretary have all decided that they want me to stick around here. So it has recently been their goal to hook me up with one of these guys. nice huh... Well I was asked to be in this skit for friend day at church and yup sure enough they are all in it adn I am ""married"" to one.. yup... so any time I see one of the ladies they say something and i turn bright red.. yea nice..   So Josh Dailey is coming to visit me for the weekend and I am super stoked!! I can't wait to have some fun and see him!!!!  Praise you Lord for the weekend....

Is the person who said this depressed or not? Answer only in a Yes or a No.","]  No. The person does not seem to be depressed based on the content of their message. They mention several positive things that have happened to them recently, including passing a test, getting a job offer, and having fun with friends. They also"
"Ask Kait is a portion of my website to help you when you need it. To ask me a question, just go to where it says __ Coments and click. Then, Click Post Comment. There, write your question/problem and I will get back to you ASAP. If you would like, leave your e-mail adress.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"Ok, so, i used to have a weblog at xanga.com, with all my friends as well. and it just got to the point that...i  couldn't  anymore. i was so tired of not being able to be open (my friends and i are close-knit, but i have a thingee i keep from them and it's just getting bigger, yeah, more on that later) and it hurt me, 'cause i knew how easy it would be to just say, 'hey!' but i can't! oh man, i'm silly, and secretive, and bashful.  anyway, the huge secret? not that big: i don't have cancer, know the formsula for cold fusion, have a secret life as a prostitute, my parents aren't getting divorced...it's not anything that big. *heaves a huge sigh* ok, this is tough to say in the open. i have a crush on one of my friends, who read my site, kyle. a HUGE crush, a crush that makes it hard to breathe, and lives up to the name *crush*!  ok, enough for today? you're probably bored. :) later, i'm out.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"Hi there, my name as you can see, is Brock.  I've been looking everywhere for a place for me to express myself, Thank you blogger.com.  I'm starting this school year as a junior, just turned sixteen, not looking for a girlfriend, because i've found one...she doesn't know it yet though...well, i guess i'll create a profile now...if you want to know more about me, head there.  ps, this is what part of the alphabet would look like if q and r were eliminated.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"Apr. 22nd Sorry for disappearing for a whole month! The journey was great, you can easily tell from the pictures i added in my album. Now i'm back, fully recharged from this long pleasant break!  Maybe it's a rhythm i adopted from the repeating semester-vacation-semester pattern over time, emptiness usually creeps on me when i've been too long away from my school work (good or bad?). Now getting back to what i was doing feels super-good (don't give me the diagnosis of workaholic^^), especially with the freshness of the long sleep nights still left in my brain.  Mar 11th, I got a new camera!!^o^ The days were so hard when the great sceneries are lying there and you just cannot take them home. You won't wait long to see the best sights in Bangor!! :-)  It's now tow weeks away from easter vacation. I'm already counting the days! guess it's the same for those of  you who are in UK^^ what are you guys planning to do for this long spring break? I'm going on a trip to Scotland and fly from Edinburgh to Netherlands (again^^).  Engjoy the warmth of early spring! I'm sure you will all make the best out of your time!   Feb 29th, after over one week's  construction, this page is roughly finished. It's my first attempt to build a homepage. With the foolproof tools from Yahoo, things seem to go on well^^  Spring still feels afar, It snowed for two days, leaving Bangor covered with pure white. The land shines brightly under the sun, and the colour of sky turned from the dead grey to a clear blue, with just enough trouches of clouds. It would be a perfect sunday if i don't have to sit indoor and work out my statistics assignment...    Feb 21st, I started building this page...  Since one and half years ago, my life started to float and i've been moving from one place to another. The new places fed my curiosity and brought freshness into my life. Yet friends come and go, it's indeed too hard to keep close friends close when we are all busy moving on in our lives.  It's not until recently, when i was talking with an old friend, did i realized how little i have been sharing my life with my friends. Let this page be an encouraging start. Do come and sit for a while when you miss  your dear friend!

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  No.
"today i nv go sch... sian lohz... hanwen call mi n told mi today can go sch library n study 4 n level lohz... i 2day at hm play ps2 whole day...haha...i realli don luv her liao...but need time to forget her...i will 4get her de cos is all nt worthy...y ask mi ben thing...i don quite like him lohz but wad 2 do? jus be careful of him k n i jus advising u k... believe it or not is all depend on u...

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"Im so sad alot of my friends are leaving me tomorrow for camp! its really sad. but i still have friends that rnt going so it will be ok. lol...i just got back from caitlyns house and we had so much fun! today i went with her to her swim meet and heidi, karina, elise, and janeller also on the swim team. it was alot of fun! iv never been to a swim meet. it was exciting! they all did really well! i was so proud of them! lol...neways thats all so have fun at camp u guys! i hope u guys dont miss me too much! lol! ttul! luv yaz!

Is the person who said this depressed or not? Answer only in a Yes or a No.","]  No. The person does not seem to be depressed based on their message. They express sadness about their friends leaving, but they also mention things that made them happy, such as spending time with their friends and watching their friends' sw"
"Everything seems to be getting worse.  Not only did I get a call last night from the lady who handles one of my credit card accounts, I got a call this morning from my mortgage company.  I don't have the money for this month's payment and the payment I arranged last month to cover the July payment didn't clear.   I have a number for a lawyer to help with getting everything put in my name.  I need to talk to my boss.  They've let me know that they might - maybe- willing to help me out with everything.  Why do I let this happen?  I know what's coming, so why do I let it happen?  I hate this.  I'm intelligent, mature, responsible.  Why do I do this?

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"everytime i have a crush, i'm always hoping for something that might not come true. i always end up daydreaming about him, i can't concentrate on the things i'm doing. sometimes, i convience myself that the guy i like might like somebody else, but i still like him.  maybe the word  martyr  is next to my name. i'm always waiting for the right guy but i always falling with the wrong guy. a friend e-mailed me about what those the selection their mean, the question # 8 asked to choose a # between 1-10..i choose 8..and it says thare that's the number i will fall in love before i get married..that's so weird. ok, i admit it..i easily fall in love with a guy that is really sweet,nice, good-looking and accepts me for who i am.. gtg..i've got some work to do..

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"My internship will start tomorrow.  It sounds like a really intense place, so i'm nervous about the whole thing.  i've always fit in in office enviros really well, and i've tended to do well in those places.  i think i'll be sucessful.  i also don't think its going to be very hard at all.  i'll post tomorrow to let everyone know how it went.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"Well... if anybody read my xanga then you would know that yesterday wasn't the best of days. But oh well, nothing I can do at this point. My brudder comes home tomorrow from Germany, I'm VERY excited about that. Five weeks is a long time to go without seeing your brudder when you haven't gone more than like 1 week without seeing him prior to that. Ryan (my boyfriend) comes home Friday. I was pleasantly surprised when I found that out, we thought he was getting home Sunday. I'm not gunna be able to talk to him until Friday cause now he's on a cruise ship, unless he has service in Norway or where ever it is that he's going. I have an audition at the Legion Theatre in Cartersville this Saturday, I might not even go... but we'll see. I'm supposed to go help at ""Music Man"" Friday night in downtown Acworth, we'll see if I can make it. Well... have a good day everyone!  urlLink

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes
"there are so many people in the world. Some of us are trained and broken and some of us are jst broken by choice. Reality sucks and everyone knows it. If you want a meaning in life then you have to find it. But if you want to suceed in life you have to be buried in it.Is there really a choice in what we want? Why do people hate? does anyone Know? I htink that people hate out of fear. Fear of change, fear of difference and fear of everything staying exactly the same. Everyone wants what they cant have, unless they dont have anything at all then they want nothing but need everything. But if you have it all you want everything and need nothing. we inven tmore and more things to make life simple, but in turn it just makes everything more difficult. you have money therefore you dont know what its like to be without or if you dont have any money you dont know what its like to have. everyone is unique, we have our own thoughts, thats what makes us who we are. We all like And dislike different things. we all believe in different things, and everyone says they like it that way but as soon as they find out someone is different from them they want to sprint in opposite directions of eachother or they wnat to make eachother like themselves. Everyones perfect. you all say were not because everyone makes mistakes, and thats what makes us perfect. Our differences and mistakes. NoOne is perfect to us because we base our lives on imperfection, therefore noone knows what perfection is. In order to find out who you are you have to experience as much as you possibly can or else your not giving yourself a chance to be happy. thank you for reading this even though i know its really scattered and probably makes no sense to you. i apologize.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"Thought I'd start off with a couple favorite poems of mine.   In This World - Love has no color - yet how deeply my body is stained by  yours.  The night has a thousand eyes, the day but one; yet the light of the bright world dies with the dying sun. The mind has a thousand eyes, and the heart but one; yet the light of a whole life dies when it's love is done.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"Okay my last post wasn't that fabulous but now i'm talking about my diet.  I lost 3 pounds.  Gotta lose 12 more before school starts.  I was doing good...until I caved and ate ice cream.  I must get back on track.  Not that I'm fat but I just need to loose some weight.  Must drop weight...must drop weight...must drop weight!

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"honestly, i am not a single bit happy... u noe wad i feel like doing? i am so goddamn fuck up... screw the world man... why must things be like tat? dammit i am so freaking mad.... i was so wrong... guys will still be guys... so freaking immature... this will never change... sad... ARG~ wadever...

Is the person who said this depressed or not? Answer only in a Yes or a No.","]  Yes, the person who said this appears to be experiencing depression. The language used in the passage suggests feelings of intense frustration, anger, and sadness, which are common symptoms of depression. Additionally, the person'"
"i believe that there are some things in our better half that only us can see. No matter how people insists that they know the person inside out, i'll shot my ten cents to prove them that they are wrong.  this is such a sleepy saturday. i woke up so early and i have to be in the office by 10am. it's ninoy aquino's day... definitely, a double-pay holiday =) it's my kuya ed's birthday. but none of those made this day a special one for me. i've been so screwed for the past few weeks. bad break-up, scary starting overs, the betrayal of friends.. whew! but those were swept away by this happiness im feeling right now. what feeling can overcome the joys of being in love? yeah, same old, same old... just an ordinary story... for YOU! but this is a whole new feeling for me.  i fell in love with this person wherein from the start, all eyebrows are raising, all rumors are spreading, all comments and objections are flying in the air. i'm scared. but what the heck! knowing myself, i love making my life fussy. im interested with risks. and god! I AM IN LOVE! that's the most important reason, isn't it? and so the story goes...  along the way of our relationship, all the negative notes i heard from my friends about my partner that made me real scared are all appeared to be the opposite. things i heard are way far different from what i've seen. and what do you expect from people around you? again, the raising of eyebrows...and worse, they betrayed me when i least expect it. at first, it really hurts... but now, who cares?! anyway my other friend told me that i should trust my instincts.  today, i woke up early with a big smile on my face. knowing that this person proved that even the most devil creature has good sides too =) but oh.. im not saying that my partner is such a demon. hahaha dont get me wrong. i love her for who she is. im happy... very happy...

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"it is so annoying b-ing me. at least evry1 else my age has one good thing in there life. bayfriends. to be perfectly honest i have had only one boyfriendin my lifetime. and even that only lasted 2 hours. i know i said that i've had more but i lied. mostly b-cause sandra and them were making fun of me cause of it. what is true tho is evrything else. and if ne of my friends read this ever im srry for lying its just the rest of u are so lucky cause unlike me u guys can easily get a boyfriend or a friend for that matter. out of all of us i was the only one that evry1 hated. while u guys are girlfriend matterial and friend worthy, i remaain here being as steph put it ""the friends friend."" thats y i think i may move to my dads if he'll let me. i dont want to be the friends friend anymore. that's what i was in orillia, barrie and even coldwater. im sick of people saying ""youre ashleys stepsister"" or yeah youre britt's friend.""or ""alexs friend"" or whoever's. i just wanna be me. maybe if i was me to begin with maybe alex G. would be into me or maybe i wouldn't be known by most orillians as little dion.""

Is the person who said this depressed or not? Answer only in a Yes or a No.","]  Yes. The person who wrote this passage seems to be experiencing depression based on their feelings of low self-esteem, isolation, and a desire to escape their current situation. They also express a sense of frustration and resent"
"Adventures always start in the most unlikely ways. A random email from someone with the courage to think outside the box ( thanks Si!) has tempted me to dip my toes in the world of the weblog. I don't know where this will lead, if anywhere, but a chance to unjumble some of the thoughts racing round my head can only be a good thing! I think everyone reaches a point where they have to stop and say, is this really the life that God has mapped out for me or am I just imposing his hand on my own faltering steps down the expected path. It's not that I think I'm in the wrong place physically, I just think maybe I'm on the wrong level. I think the catalyst has been the birth of my daughter. Two big blue eyes watch every move I make with unnerving concentration, taking in the things other people may have glossed over in the past. Suddenly I realise that what I say may count for very little as, seeing everything, she's going to see the truth. Don't get me wrong, there are lots of positives, I'm just ready for more. I suppose I'm just looking for a way to let my mind spill on to the screen and see if what lands there starts to make some sense!

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes
"So here is my first blog.  Couple of fun things going on, which I'll probably mention in some later posts.  But, looking for a new apartment.  This is always is always an epic adventure.  Another, new girl in my circle of friends.  We shall see how that turns out.  And when you gain a friend sometimes its good to loose a friend.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes
"What in the world did you mean when you pointed at the picture? it better not mean what i think it means. b/c you do not want to know what i think it means. DO YOU ACTUALLY LIKE HIM?????!!!!!!!!?????? No way am i beliving this. you better tell me before i come to any CONCLUSIONS. I hope you check this out today and now so i can check out ur comment. i sure hope its not what i think it means. that would be GROSS!*sigh language sigh for vommiting* . if you know what i mean! well i got to go and i hope i get back to you on this VERY soon! Bu-Byes!

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"So I didn't get around to posting more earlier as I expected....I'll get better.  I'm now over halfway done with my marathon summer semester.  I never took Physics in high school.  Not sure how I passed Chemistry my junior year.  But, for now, I'm doing well in Physiology.  I'm loving it!  Science is cool.  I spent the last 20+ years fearing references to science and now I want to go out of my way to read or watch them.    Admittedly I have changed over the past year or so.  A life crisis (as opposed to a mid-life crisis which I am not old enough to have yet) let me to decide I want to go into nursing.  To do that I have to plunge into science.  Now I find its not bad.  Where did I get the impression it was?  The larger question in my mind is what happens in our schools that so many children and teens like myself end up hating science?  Can something be done to change that.  Everyone has different interests; be they theater, media, science, athletic or something else.  However, shouldn't our schools foster at least an interest or respect for all areas?  With obesity increasingly an issue athletics are important.  Science technology is equally important.  What would life be without music or theater?  In the rush to standardize test I think we are missing the large point problem.  It is that kids should enjoy school.  We have all had good teachers who make learning fun.  As a society we need to study those teachers and start pushing for more like them.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  No
"UURRRGGG!!! I'm sooo sad. My mom said that we could possibly get a dog we saw on an adoption website. Then today when we were going to go see the puppy, she said that we didn't have enough money because Im getting braces soon. I wonder if Im being too selfish... hmmmm... My friend slept over last night and one thing that I realized about him is that he smells like a wet dirty dog EEEWWW. So many people want me to go to their houses for a fourth of July party. I cant decide which persons house to go to cause I don't want to hurt anyone's feelings. Decisions decisons.....

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"wake up dazed, confused realizing the world around you was yesterday but a dream? or was it a sign of things to come?  Watch Mr. Coffee sereve you your life in a cup drip       drip            drip...  my face staes back at me from the dark brown puddle     not at me, through me pondereing over the origin of my place i soon realize,        i have no memory of the past six months was it even there? you were there.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"Last week it all came to a head after months of holding it in,  I quit my job and this is what happened:  You know how little things can build up and you hold it inside  until you can't take it any more? Well thats what I did.   I came back last week at the end of the day and Jim started on  me about something that was of no big deal but I blew up and started  yelling at him and him at me and the next thing I know I quit.  I stormed out of the office and went home. It hit me what I had  just done about half way home.  I knew I was wrong in geting mad and quiting but what was done was done. I went home and told my wife and she didn't say a word.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"Well right now I am about to eat (yum) so I will make this a bit shorter than normal especially becauce I had a boring day. I woke up at 6:30 am :( and I at some breakfast and started to fiddle with my computer trying to get the network/internet in our new house to work. I had to work till noon cutting up the hundreds of boxes we used to move which is ok because I love my sharp knife :P The rest of the day I spent trouble shooting my home network trying to get it working with WEP encryption which most people will not know...

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  No.
"The first dream was that my little brother brought over season three of The Shield on DVD, but it was a poor quality rip from a VCR recording.  The second dream is that I was out on the beach with my brother and he went into the water and pulled out a morray eel and attempted to behead it. He only got down to the last string before he stopped and it was still alive and cleaning it's self like a cat. I was pretty disturbed by this so I begged him to finish the job and just put it out of it's misery. I know this one is in connection to the recent beheadings in the middle east.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes
"On sat nite my grandma complained that her tummy aches n she kept vomitting n her vomit   is black...!She couldnt breathe properly ...My couz, nana, was quite scared cos theres only her father and she herself wif my grandma at home n her mum is out to a kenduri so both of dem dun really noe wat to do...My   grandma's been sick for da past few days n she is getting better but dat nite...its like...suddenly tummy ache n so on...She couldn't take it animore n told her dad  call my aunt ² hurry home n bring her da hospital..My aunt hurried home and the rest of my uncles n aunties were called come too...Called da ambulance n brought her to the hospital...Went for check ups n stuff and found out that my grandma's large intestine or wateva has a hole so that explains the tummy   ache n da food dat she ate went out frm the hole n went up  her lungs!So dat xplains da difficulty in breathing...She had to go for a major op...If not...there would b no hope n if she did go for da op..the chance is   50/50  .I can't believe dat it could get all serious like dis.I didn't go ² da hosp dat nite but just stayed at home and took care of my younger siblings.      After the   4 hr   op,everi was so somber n deep in sorrow!My couz told me dat my grandma looked so weak and her hands and both her eyes were swollen..My aunt kept crying n she said dat she can't forget the look on my grandma's face..She said da doctor told her to '  prepare for the worst  ' and to  '   dont stop praying   ' .Of coz..she became scared..So dat Sunday..i went  visit my   grandma.She's in ICU.These few days..gonna be in critical condition.When she saw me wif ma lil couz n ma aunt,n we saw her..all of us burst in tears...It was so   saddening   to see her like dat.Wif god knows how many tubes in her mouth..nose..hands..lungs n whateva.It seems as though she was fighting for her dear life and she couldn't do it.Da pain she endured is clearly portrayed through her physical expression.I told her ² be brave and believe that everything is gonna b all right. I held her hand.Man!My heart just went all down to see her like dat.      But my aunt told me dat her condition is getting more stable.She looked better than she did on Sat nite.And she's gonna breathe normally soon enough.Whatever it is,I'm just gonna keep praying dat my grandmother will be all right again....         »!Insya Allah!«

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"I heard about a couple of jobs at work I applied for the other day. I didn't receive an interview. I'm pretty dissappointed about it, I thought my application was quite good... I was never expecting to get either of the jobs, there are people at work who definitely deserve them more than I but it is still a sensation not dissimiliar to a kick in the teeth. All my friends rallied around to make me feel better but of course when you feel like that there is very little someone can do to help. It's a matter of stewing for a few days and then getting over it, I am becoming a master this year it seems. I offered my application to my friends at work for there opinion, they all said it was pretty good, but I only got a truly honest opinion from one, my good friend anthony, he told me that while it was good, I used passive language which they warn you against, I really appreciate his honesty, you have to respect it. I think he might be one of those friends you meet rarely that you should try and hold on to for the rest of your life.. you can't waste a good friend. I actually feel the bunch of guys I've met in the last couple of years while working where I am, are the best I have ever made, they are not like some of the friends I had in high school who seem to use when appropriate and forget you at other times and I honestly don't think they ever thought about it, or the friends they are unwilling or just unable to share any emotions deeper than a bottle of beer with you.. at some point you must grow up.  I was told by Anthony the other day when he read this for the first time that adnd is an old acronym for Dungeons and Dragons dating back to 2nd Edition and that die-hards upon reading my first post would pick me up on it... and I have to say if that is so, then you really must start doing something more than dnd with your life, okay! I love the game, but really!

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes
"WhEEE!! First Entry! haA..anyway..today is shooo not my day! Crap. Haa..that stupid moniter didn't work today..Mr Shasi's lessons were the usual.boredom. Dexter, being sho xtra today, Mr Shasi called him to join in the briefing for the NCCs..lol, he reluctant man..then he had to go lah of coz..so xtra. Even the NCC in charge also laugh at him. Becox of the 'stupid' moniter, Physics lesson turns out to be a blessing in disguise..Ah Ong couldn't do any power point presentation!! Lucky us...otherwise, a huge crowd would be heading for the toilet.   Hey! No Cme today. Make me waste my CD to burn some stupid cme project which wasn't even important. ITS PINK MAN! Wasted...But its a free lesson today..No bad lah..still can't believe Mr Goh this kind of person would be called back for reservice...WeIrD...  Guess Lim Lay Yong forgotten all about us...where the hell did she go? No Lit lessons today as well..sianx..also good lah..if not, ruoying after lessons will probably start talking about the shaking hands incident. Haa..Ms Tock didn't come..must be that pregnancy problem again..its no surprise anymore..hope she comes often..I don't want to miss lessons..  So funny in Ms Ratna's lessons today. We had discussions on abortion. She showed us so many pics on aborted babies..so cruel..those irresponsible freakos..still give wad 'candy apples' crap..the guys are so damn funni when it comes to such issues..should hav seen ms ratna laugh today..hilarious!  Oh my god..Aaron was so aggresive today. Top let his leg out, Aaron just sort of tripped over it. Then Top quickly apologised then let his hand out to like say sorry lah..then Aaron slap his hand away and cursed Top. He mutter alot of vulgar language..scary man..  I finally bought my PE shirt..now my stupid mom wouldn't nag at me anymore. Missed Summer Scent...SHO DAMN SAD...Shall watch it tomorrow! dunno got time anot though..  They want me to bring Zy present tml? Isn't that a tid bit too early..not that I'm not anxious to see her expression..haaa  So when the hell is the teacher's day celebration exactly? Fri or Tue? Stupid making Jelly..so much work..this is simply nod fair!!  Ah yah...got so much home econs thing to do..troublesome ms foo..whoo!! Going to read teenage now! Buaiz!

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"To whom it may concern, I have been thinking and have concluded that I think too much. Why? My brain hurts almost all the time. The boys that I hang out with all fight at the one time. I get headaches all the time and usually Grenda* comes in to stop them but it is usually carries on out side. At least 2 have crushes on me and one has declared there love for me! HELP if any one can give me advice it is welcomed. regards, Kitty

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"I have had it up to here! If you want to know what my life is like today, here it is in a nutshell: My name is Claire, I've just finished my GCSE exams (thank God!) I'm going to Oxford this weekend, and I am worried, stressed and pissed off simultaneously.  My brother Martin is a drug addict who has made my family's lives a living hell for the past 4 or 5 years. He is 15 in August. My parents are separated, and my dad has a heart condition. One more severe heart attack and he could die. Martin broke into my dad's neighbors house where they live in Aldridge, and now the police are looking for him.   They have just broken into my dad's house to search for him, and my dad's landlady has just called to tell him at work, so he's on his way home to do some damage control. I'm worried because my dad could get evicted as he is only renting the house, and he has worked really hard on doing it up so it will be a reasonable place to live in. He has been looking for a house for ages, but everything that seems to go right usually gets screwed up by my darling bastard little brother, so I don't know why I'm so surprised. At last count, my brother has been expelled from 3 schools and 1 college, and he hasn't attended school properly since he was about twelve.   There you have it. My fabulous life. I can't trust anyone completely in my life except for one person, who will not be named here. She is my rock to lean on, and I don't know what I'd do without her sometimes. I'm also annoyed because I don't trust any of my other friends enough to leave them in my room when they are staying over, because I think they will look for my private stuff. My songs, my stories... I have to hide everything private in my room every time they are there, and so even though people can read this I'm safe because none of my friends even know what a blog actually is. I know I sound like a melodramatic little whiner but this is seriously what my life is like. Between me and all my friends, we have enough problems to end up on Oprah or a similar show on a regular basis. This blog will be my way of telling our stories respectively.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"Its getting real nasty out there. This has to be the worst election year in the history of the U.S.. I'm not going to reiterate all the stupid things said on both sides, nor am I going to repeat the lies from both parties. Let me just say, I don't want another reckless 4 years with Bush. On the other hand, I don't want 4 years with Kerry. But these are my choices. What I believe WILL happen after one of these bafones gets elected. The people will rise up, get it together, and find a true leader for our country...out of the shit grows daffodiles! Hang on, its only going to smell worse during the next four years.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes
"So here I sit at work. Only three more hours left, I guess that's not so bad. It's over time so that makes it even better.    This online Blog idea was very clever. The user interface is very easy to use. I like it.    So when is it too soon to say I love you to someone? Or is there even a time limit on feelings and emotions. I don't think there is. I use to. I use to never believe in love at first sight. But just because you don't believe in something, doesn't mean it's not there. It's amazing how I use to think when someone would say, ""Oh you'll know when you've found the person you want to spend the rest of your life with."" I'd think to myself, how can that possibly be? How can you possibly know that just after meeting someone. Use to think it was all just movie talk, hollywood glamour to sell movies and merchandise. But I believe it now. I think deep down in my heart I had always wanted to believe it, but never wanted to get my hopes up for fear of being let down.    An Ex of mine use to get so aggrivated with me during our break up, cause he kept asking me if I see him in my future. I kept telling him I don't know. Because well, I don't. He kept asking if I had hopes for us to be together again, and I said, No. I don't have hopes for anything. Never have. It's better to have never hoped for anything, then to have been let down by those false hopes. But is it better to have loved and lost, then to have never loved? Going through the break up, I began thinking it's better to have never loved. But in recent events, I couldn't change my mind quick enough. I would rather have loved, and lost. The joy of being with that one person, and sharing moments and experiences that would never be the same, is priceless.    Well there is quite alot there to read. hehe I guess I should probably get some work done.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"Today is Thursday. Today went for my second interview! Woke up at 7.30am! Yuppy! Got the job! :P SO damn happy!  Went out for lunch with JN to Serangoon Garden for duck rice.  Later met Sam to go Town to Shop! Bought a halter black blouse for $15!  We had lunch at Far East Sq to eat Hot Plate Balacan Beef Fried Rice.. Too bad!  We sat at KFC outside to smoke and talk.. While talking, one man asked us whether if we mind to share seats with them. They were both Russian Guys who are seamen. I mistaken them as staff from siemens HAHAHA ! So damn funny! We had a chat with them. And the guy sitting next me was so damn close to me while chatting with me! Sam got worried and asked us to leave first. HAHAHA . What a day!

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  No
"My first blog...   Here at my workplace.. Got lots to do, but don't know where to start...  My mind's gone blank... Need some coffee...

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes
"Today was an ordinary day . . . I was off from Wal-Mart and didn't really have anything to do.  There's no food in my house, and it was kind of an adventure trying to find something to eat.  I'm really feeling too lazy to go to the grocery store.  I've been searching for Gmail invites and Orkut invites, but so far to no avail.  Gmail Swap has proven to be a bust as well.  Will has actually done more today than me.  He had some stuff to turn in for classes and wasn't gone long.  On days like today, we both feel like a waste of humanity, but it's nice to not have to do something every day of the week.  Sometimes, it's better just to sit around and have a lazy day playing with the dog.  Jen

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes
